Time,VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],FLR_3_DOAS:DesPer 1:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Heat Cap [W],FLR_3_DOAS:DesPer 1:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 1:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 1:Des Tot Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Heat Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Heat Cap [W],FLR_3_DOAS:DesPer 2:Des Cool Mass Flow [kg/s],FLR_3_DOAS:DesPer 2:Des Sens Cool Cap [W],FLR_3_DOAS:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.819097E+00,1.143191E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.210798E+01,2.474552E+05,2.644236E+05,3.429514E+00,4.445567E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.477432E+01,1.649847E+05,1.563766E+05
00:20:00,8.819040E+00,1.143184E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.209933E+01,2.460607E+05,2.630127E+05,3.428842E+00,4.444697E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.472615E+01,1.631299E+05,1.545297E+05
00:30:00,8.818989E+00,1.143177E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.209092E+01,2.446689E+05,2.615989E+05,3.428310E+00,4.444008E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.467867E+01,1.612911E+05,1.526987E+05
00:40:00,8.818893E+00,1.143165E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.201578E+01,2.425274E+05,2.591810E+05,3.427515E+00,4.442976E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.463169E+01,1.594663E+05,1.508817E+05
00:50:00,8.818805E+00,1.143153E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.194404E+01,2.404244E+05,2.568148E+05,3.426852E+00,4.442117E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.458546E+01,1.576581E+05,1.490808E+05
01:00:00,8.818736E+00,1.143144E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.192419E+01,2.389043E+05,2.552277E+05,3.426197E+00,4.441269E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.453980E+01,1.558642E+05,1.472940E+05
01:10:00,8.818789E+00,1.143151E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.190518E+01,2.378259E+05,2.540918E+05,3.426240E+00,4.441324E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.449512E+01,1.545211E+05,1.459642E+05
01:20:00,8.818837E+00,1.143157E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.188658E+01,2.367521E+05,2.529608E+05,3.426282E+00,4.441378E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.445149E+01,1.531943E+05,1.446500E+05
01:30:00,8.818881E+00,1.143163E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.186841E+01,2.356830E+05,2.518353E+05,3.426323E+00,4.441432E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.440891E+01,1.518838E+05,1.433518E+05
01:40:00,8.818922E+00,1.143168E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.185067E+01,2.346188E+05,2.507154E+05,3.426364E+00,4.441484E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.436741E+01,1.505898E+05,1.420692E+05
01:50:00,8.818961E+00,1.143173E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.183339E+01,2.335598E+05,2.496020E+05,3.426404E+00,4.441536E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.432701E+01,1.493122E+05,1.408027E+05
02:00:00,8.818997E+00,1.143178E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.181658E+01,2.325060E+05,2.484952E+05,3.426443E+00,4.441587E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.428774E+01,1.480510E+05,1.395521E+05
02:10:00,8.819032E+00,1.143183E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.180010E+01,2.316721E+05,2.476124E+05,3.426482E+00,4.441637E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.424922E+01,1.470147E+05,1.385289E+05
02:20:00,8.819066E+00,1.143187E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.178394E+01,2.308419E+05,2.467340E+05,3.426520E+00,4.441687E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.421145E+01,1.459895E+05,1.375167E+05
02:30:00,8.819099E+00,1.143191E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.176811E+01,2.300153E+05,2.458595E+05,3.426559E+00,4.441737E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.417442E+01,1.449753E+05,1.365148E+05
02:40:00,8.819130E+00,1.143195E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.175258E+01,2.291921E+05,2.449895E+05,3.426596E+00,4.441786E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.413813E+01,1.439719E+05,1.355235E+05
02:50:00,8.819161E+00,1.143199E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.173737E+01,2.283725E+05,2.441236E+05,3.426634E+00,4.441834E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.410256E+01,1.429791E+05,1.345426E+05
03:00:00,8.819191E+00,1.143203E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.172246E+01,2.275564E+05,2.432618E+05,3.426671E+00,4.441882E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.406773E+01,1.419969E+05,1.335715E+05
03:10:00,8.819221E+00,1.143207E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.170772E+01,2.267420E+05,2.424025E+05,3.426707E+00,4.441930E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.403326E+01,1.410214E+05,1.326072E+05
03:20:00,8.819250E+00,1.143211E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.169312E+01,2.259293E+05,2.415450E+05,3.426744E+00,4.441977E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.399911E+01,1.400524E+05,1.316492E+05
03:30:00,8.819279E+00,1.143215E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.167865E+01,2.251181E+05,2.406891E+05,3.426780E+00,4.442024E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.396528E+01,1.390894E+05,1.306970E+05
03:40:00,8.819307E+00,1.143218E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.166431E+01,2.243082E+05,2.398349E+05,3.426816E+00,4.442070E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.393175E+01,1.381325E+05,1.297508E+05
03:50:00,8.819335E+00,1.143222E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.165007E+01,2.234996E+05,2.389823E+05,3.426851E+00,4.442116E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.389850E+01,1.371813E+05,1.288103E+05
04:00:00,8.819362E+00,1.143225E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.163594E+01,2.226922E+05,2.381309E+05,3.426887E+00,4.442162E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.386551E+01,1.362357E+05,1.278750E+05
04:10:00,8.819405E+00,1.143231E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164364E+01,2.223462E+05,2.378273E+05,3.427071E+00,4.442401E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.383318E+01,1.355056E+05,1.271583E+05
04:20:00,8.819434E+00,1.143235E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.165155E+01,2.220025E+05,2.374005E+05,3.427160E+00,4.442516E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.380145E+01,1.347834E+05,1.264490E+05
04:30:00,8.819449E+00,1.143237E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.165971E+01,2.216616E+05,2.370372E+05,3.427257E+00,4.442642E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.377035E+01,1.340692E+05,1.257474E+05
04:40:00,8.819428E+00,1.143234E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.166812E+01,2.213236E+05,2.367408E+05,3.427213E+00,4.442585E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.373990E+01,1.333631E+05,1.250533E+05
04:50:00,8.819394E+00,1.143229E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.167680E+01,2.209886E+05,2.364580E+05,3.427274E+00,4.442664E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.371010E+01,1.326651E+05,1.243672E+05
05:00:00,8.819328E+00,1.143221E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.168576E+01,2.206568E+05,2.361710E+05,3.427287E+00,4.442681E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.368097E+01,1.319754E+05,1.236891E+05
05:10:00,8.819221E+00,1.143207E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.167247E+01,2.209397E+05,2.364262E+05,3.427163E+00,4.442520E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.365348E+01,1.321173E+05,1.238536E+05
05:20:00,8.819104E+00,1.143192E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.166001E+01,2.212322E+05,2.367018E+05,3.427135E+00,4.442484E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.362795E+01,1.322765E+05,1.240344E+05
05:30:00,8.818978E+00,1.143175E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164842E+01,2.215342E+05,2.369853E+05,3.427100E+00,4.442438E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.360439E+01,1.324534E+05,1.242319E+05
05:40:00,8.818867E+00,1.143161E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164328E+01,2.219089E+05,2.373589E+05,3.427206E+00,4.442576E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.359992E+01,1.328153E+05,1.246026E+05
05:50:00,8.818750E+00,1.143146E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164243E+01,2.223317E+05,2.377739E+05,3.427207E+00,4.442577E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.362025E+01,1.334198E+05,1.252009E+05
06:00:00,8.818647E+00,1.143133E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164364E+01,2.227776E+05,2.382050E+05,3.427256E+00,4.442641E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.367143E+01,1.343288E+05,1.260851E+05
06:10:00,8.818552E+00,1.143120E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.164552E+01,2.243120E+05,2.397562E+05,3.427294E+00,4.442690E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.374842E+01,1.365196E+05,1.282514E+05
06:20:00,8.818466E+00,1.143109E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.165249E+01,2.259035E+05,2.414068E+05,3.427329E+00,4.442736E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.384986E+01,1.389720E+05,1.306647E+05
06:30:00,8.818388E+00,1.143099E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.166661E+01,2.275755E+05,2.431549E+05,3.427364E+00,4.442781E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.397913E+01,1.417277E+05,1.333649E+05
06:40:00,8.818318E+00,1.143090E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.168378E+01,2.292818E+05,2.449227E+05,3.427398E+00,4.442825E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.411709E+01,1.445994E+05,1.361765E+05
06:50:00,8.818255E+00,1.143082E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.170440E+01,2.310268E+05,2.467203E+05,3.427431E+00,4.442868E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.425804E+01,1.475308E+05,1.390461E+05
07:00:00,8.818199E+00,1.143074E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.173267E+01,2.328578E+05,2.486286E+05,3.427464E+00,4.442910E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.439587E+01,1.504589E+05,1.419150E+05
07:10:00,8.818157E+00,1.143069E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.175867E+01,2.368252E+05,2.526971E+05,3.427585E+00,4.443067E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.453737E+01,1.556215E+05,1.470494E+05
07:20:00,8.818121E+00,1.143064E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.178982E+01,2.408506E+05,2.569068E+05,3.427697E+00,4.443213E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.468214E+01,1.608916E+05,1.522906E+05
07:30:00,8.818081E+00,1.143059E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.182463E+01,2.449172E+05,2.611347E+05,3.427673E+00,4.443182E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.482673E+01,1.662329E+05,1.576042E+05
07:40:00,8.818067E+00,1.143057E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.186156E+01,2.490076E+05,2.653541E+05,3.427736E+00,4.443263E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.497171E+01,1.716521E+05,1.629965E+05
07:50:00,8.818064E+00,1.143057E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.190229E+01,2.531407E+05,2.696195E+05,3.427750E+00,4.443281E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.511635E+01,1.771409E+05,1.684596E+05
08:00:00,8.818079E+00,1.143059E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.194325E+01,2.572764E+05,2.738886E+05,3.427774E+00,4.443313E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.525830E+01,1.826707E+05,1.739665E+05
08:10:00,8.818102E+00,1.143062E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.199838E+01,2.620037E+05,2.788119E+05,3.427711E+00,4.443231E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.539482E+01,1.886648E+05,1.799488E+05
08:20:00,8.818140E+00,1.143067E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.205557E+01,2.667541E+05,2.837650E+05,3.427657E+00,4.443160E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.552876E+01,1.947041E+05,1.859791E+05
08:30:00,8.818201E+00,1.143075E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.211614E+01,2.715426E+05,2.887626E+05,3.427738E+00,4.443266E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.566444E+01,2.008415E+05,1.921075E+05
08:40:00,8.818253E+00,1.143082E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.218051E+01,2.763738E+05,2.938071E+05,3.427734E+00,4.443260E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.580278E+01,2.070906E+05,1.983472E+05
08:50:00,8.818309E+00,1.143089E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.224940E+01,2.812558E+05,2.989091E+05,3.427777E+00,4.443317E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.594540E+01,2.134753E+05,2.047214E+05
09:00:00,8.818361E+00,1.143096E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.232523E+01,2.862159E+05,3.041060E+05,3.427810E+00,4.443358E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.609602E+01,2.200503E+05,2.112829E+05
09:10:00,8.818410E+00,1.143102E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.240726E+01,2.908134E+05,3.089477E+05,3.427841E+00,4.443399E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.625468E+01,2.263381E+05,2.175468E+05
09:20:00,8.818455E+00,1.143108E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.249410E+01,2.954649E+05,3.138498E+05,3.427870E+00,4.443437E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.642075E+01,2.328115E+05,2.239934E+05
09:30:00,8.818496E+00,1.143113E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.258424E+01,3.001536E+05,3.187967E+05,3.427899E+00,4.443475E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.659055E+01,2.394229E+05,2.305773E+05
09:40:00,8.818534E+00,1.143118E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.267755E+01,3.048779E+05,3.237865E+05,3.427928E+00,4.443512E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.676488E+01,2.461868E+05,2.373126E+05
09:50:00,8.818568E+00,1.143122E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.277348E+01,3.096317E+05,3.288102E+05,3.427956E+00,4.443548E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.694284E+01,2.530932E+05,2.441899E+05
10:00:00,8.818599E+00,1.143126E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.287113E+01,3.144049E+05,3.338547E+05,3.427984E+00,4.443584E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.712271E+01,2.601189E+05,2.511869E+05
10:10:00,8.818626E+00,1.143130E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.296706E+01,3.187264E+05,3.384316E+05,3.428011E+00,4.443619E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.730045E+01,2.666870E+05,2.577207E+05
10:20:00,8.818651E+00,1.143133E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.306239E+01,3.230411E+05,3.430060E+05,3.428038E+00,4.443655E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.747581E+01,2.732975E+05,2.642995E+05
10:30:00,8.818674E+00,1.143136E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.315651E+01,3.273423E+05,3.475621E+05,3.428066E+00,4.443691E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.764753E+01,2.799286E+05,2.709021E+05
10:40:00,8.818696E+00,1.143139E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.324864E+01,3.316212E+05,3.520874E+05,3.428093E+00,4.443726E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.781428E+01,2.865565E+05,2.775052E+05
10:50:00,8.818717E+00,1.143142E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.333813E+01,3.358703E+05,3.565744E+05,3.428121E+00,4.443762E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.797506E+01,2.931616E+05,2.840893E+05
11:00:00,8.818738E+00,1.143144E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.342449E+01,3.400842E+05,3.610178E+05,3.428148E+00,4.443797E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.812934E+01,2.997313E+05,2.906426E+05
11:10:00,8.818767E+00,1.143148E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.349090E+01,3.429931E+05,3.640706E+05,3.428264E+00,4.443947E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.827799E+01,3.049133E+05,2.957912E+05
11:20:00,8.818797E+00,1.143152E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.355360E+01,3.458603E+05,3.672024E+05,3.428371E+00,4.444086E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.841979E+01,3.100243E+05,3.008731E+05
11:30:00,8.818820E+00,1.143155E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.361212E+01,3.486806E+05,3.702142E+05,3.428342E+00,4.444048E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.855483E+01,3.150629E+05,3.058868E+05
11:40:00,8.818884E+00,1.143163E+05,8.702181E+00,0.000000E+00,0.000000E+00,8.702179E+00,0.000000E+00,2.373320E+01,3.522035E+05,3.740974E+05,3.428580E+00,4.444358E+04,2.468056E+00,0.000000E+00,0.000000E+00,2.468056E+00,0.000000E+00,1.868350E+01,3.200326E+05,3.108349E+05
